feature,p_value,rank_biserial,cohens_d,mean_UPDRS0,mean_UPDRS1,direction
s2_x_mean,0.08276102258582048,0.1275987030326149,0.22931457997175902,12.728110251718126,13.840207879203579,UPDRS1>
s1_roll_range,0.09104445612326233,0.1242927077373005,0.18023708934261604,98.7620476190476,115.781261682243,UPDRS1>
s1_y_vel_std,0.09750946496895528,0.12187678809841684,0.10577661895439086,222.69442670653993,374.3836077799801,UPDRS1>
s2_x_vel_mean,0.10433627253159855,0.1194608684595333,0.034569432150047874,18.364946174866617,20.195026093652796,UPDRS1>
s2_speed3d_std,0.11310221041082273,0.11653633415983222,0.15957590891184822,723.74650680458,1486.8249869508047,UPDRS1>
s1_z_std,0.11389110426036773,0.11628202682942335,0.19634712088919307,0.7274248260743542,0.645920307289115,UPDRS0>
s2_yaw_mean,0.1377877418754794,0.10916142157797704,0.17744961502572004,-27.30563398096718,-12.259507825892097,UPDRS1>
s1_roll_std,0.14480350544280177,0.10725411659991102,0.1892294856542646,24.287018831918296,28.812982756608154,UPDRS1>
s2_y_iqr,0.16327665955720994,0.10254943098734826,0.13566052051662653,1.5932619047619048,1.6985186915887849,UPDRS1>
s1_roll_iqr,0.16432363482755963,0.10229512365693938,0.18144557037115824,35.610484693877545,40.920605140186915,UPDRS1>
s1_pwr_ratio_1_5hz,0.178397965613025,0.0989891283616251,0.17757029247314318,0.44772615691455464,0.40468994754855225,UPDRS0>
s1_z_vel_max,0.18894535466157003,0.09663678555534361,0.11211864931512691,6670.296903249013,10725.11621050287,UPDRS1>
s2_y_std,0.21426523622047555,0.09135990844936104,0.03754874472394274,1.0110724374752313,1.0299960999021691,UPDRS1>
s2_roll_range,0.21586438319251988,0.09104202428635011,0.16485791530040855,285.30297278911564,304.29663551401865,UPDRS1>
s2_x_vel_std,0.21941516908025893,0.09034267912772576,0.07046958114524211,250.91388810242523,332.2373571706946,UPDRS1>
intersensor_dist_std,0.29216442116133,0.0775001589420814,0.13599880432535336,1.8365234488154114,1.7741141711135422,UPDRS0>
s1_speed3d_max,0.29454819893286444,0.07711869794646842,0.13736329956304624,12536.971183538519,21567.526503953468,UPDRS1>
s2_y_vel_max,0.3099475911431788,0.07470277830758465,0.1818733367674065,9467.333323427061,29068.0809159688,UPDRS1>
s1_pitch_mean,0.3233207286815798,0.07266831966431431,0.09035878698896582,33.76597767181064,35.37278278768778,UPDRS1>
s1_x_vel_max,0.3405576590580779,0.07012524636022643,0.1595724884847747,6063.878370395755,12512.479877586085,UPDRS1>
s2_z_vel_mean,0.34319368671293604,0.06974378536461323,0.07770764618968994,28.74270025364708,38.007775845742955,UPDRS1>
s2_yaw_iqr,0.3511781165940524,0.06859940237777362,0.1151890919441584,86.73854591836735,75.64221028037383,UPDRS0>
s2_y_range,0.40395487540646846,0.061415220293724926,0.017381268055877197,4.40443537414966,4.441037383177569,UPDRS1>
s2_yaw_range,0.405905892796273,0.06116091296331616,0.1059222737194589,217.32845578231294,231.5600280373832,UPDRS1>
s2_amp_slope,0.42022053576119256,0.05931718481785242,0.15821631123884664,0.04178571428571456,0.26838317757009383,UPDRS1>
s1_y_range,0.4257263987027696,0.05861783965922818,0.060424785711338816,2.6492244897959187,2.719429906542056,UPDRS1>
s2_roll_mean,0.449722649838008,0.055629728526924827,0.09912076972365481,-7.300419773021684,1.6737700260440065,UPDRS1>
s2_z_iqr,0.4809023730230483,0.05187869540339496,0.14681369334429817,1.7553639455782313,1.6462429906542055,UPDRS0>
s1_yaw_mean,0.5460669363384492,0.04444020598893772,0.0709361801573221,-3.5258536788637067,-10.05639658866042,UPDRS0>
s2_z_vel_std,0.5576287757790732,0.04316866933689356,0.08688896262708087,464.1416482678609,712.0120312671955,UPDRS1>
intersensor_dist_range,0.5657923257561468,0.04227859368046283,0.02355541088031496,5.5258451585224035,5.4695287589878365,UPDRS0>
s2_amp_decrement,0.5834763992313194,0.04037128870239681,0.08444458655793274,-0.4051854969306872,-0.7387630567622577,UPDRS0>
intersensor_dist_mean,0.5894278089779104,0.039735520376374955,0.0799621965626527,3.764033418838047,3.707503098321556,UPDRS0>
s2_speed3d_max,0.6014138344868714,0.0384639837243308,0.17202020614950844,18334.56479322214,41464.253409062716,UPDRS1>
s2_z_vel_max,0.6122940846275146,0.0373196007374913,0.09262379978177625,11927.772975588256,19102.781405163343,UPDRS1>
s2_pwr_ratio_1_5hz,0.6269354064485612,0.035793756755038486,0.07326332424576391,0.6298725544413657,0.645318645337666,UPDRS1>
s2_y_mean,0.6429639234598894,0.034140759107381236,0.06095575477063534,0.8934943812405791,1.3225879704596242,UPDRS1>
s2_x_range,0.6767830072218164,0.030707610146862407,0.11031770637056497,3.344591836734694,3.2105607476635516,UPDRS0>
s1_yaw_range,0.6939457274880004,0.028991035666603104,0.11528274106615263,88.49872789115648,101.75602803738316,UPDRS1>
s2_pitch_iqr,0.7203079665065741,0.026384385529912846,0.07281650676822778,51.97172448979591,53.43828504672897,UPDRS1>
s2_x_std,0.7228983875302047,0.026130078199504192,0.06629000424651935,0.7191421008714639,0.7004204876348531,UPDRS0>
s2_x_iqr,0.7235463935727662,0.026066501366901917,0.01902676763544735,1.0860425170068027,1.0963341121495325,UPDRS1>
s2_yaw_std,0.7424260051365699,0.024222773221438065,0.014470665638859697,62.025671035626615,62.73645419560895,UPDRS1>
s2_pitch_range,0.7806430090242422,0.020535316930510472,0.05076184608675941,87.43598639455783,88.55683177570096,UPDRS1>
s2_z_std,0.8019640770533917,0.01850085828724013,0.06826376496212502,1.0633639692705203,1.0282350619406295,UPDRS0>
s2_pitch_std,0.8033017337553949,0.01837370462203569,0.06120977418278005,26.87441321314434,27.412551361804177,UPDRS1>
s2_z_range,0.8613157335212572,0.01290609701824652,0.013574137178767154,4.54547619047619,4.589028037383178,UPDRS1>
s1_roll_mean,0.876291009087407,0.011507406700998146,0.01837858417321024,-6.19069857777513,-8.077048673946802,UPDRS0>
s2_roll_std,0.8803830731304562,0.011125945705384943,0.01471084209441935,88.69494302374846,89.41911656359747,UPDRS1>
s2_roll_iqr,0.8817478101600866,0.010998792040180616,0.04614725301360425,129.70004591836732,124.19328738317759,UPDRS0>
s1_yaw_std,0.8858441124115072,0.010617331044567413,0.05266853054344733,26.548166227465927,28.808140978167124,UPDRS1>
s1_x_std,0.8913105787861726,0.01010871638374966,0.052860604569948386,0.6528681057996983,0.6398035608130216,UPDRS0>
s1_y_mean,0.895413835802389,0.009727255388136569,0.03443312530974535,0.9516430757166607,1.1417331358240626,UPDRS1>
s2_pitch_mean,0.9008891818534239,0.009218640727318927,0.048164633200586025,35.81889392289316,36.41281103876377,UPDRS1>
s1_y_iqr,0.9043136514668983,0.008900756564307999,0.007836364947363405,1.0207602040816328,1.0167429906542058,UPDRS0>
s1_yaw_iqr,0.909110969923939,0.008455718736092521,0.05762921386859039,45.65223129251701,40.852093457943916,UPDRS0>
s1_x_range,0.9187152390570344,0.007565643079661788,0.07079486741708178,2.7088163265306124,2.6374953271028043,UPDRS0>
intersensor_dist_min,0.9310810076925614,0.006421260092822179,0.0032994613420507437,0.9962803751439226,0.9975500219166533,UPDRS1>
s1_x_iqr,0.9482825509150699,0.004831839277767203,0.032605640691190846,1.0716836734693878,1.055766355140187,UPDRS0>
s1_power_1_5hz,0.9682661088805973,0.0029881111323033505,0.09510903092269034,52827.69126459498,63592.57330409083,UPDRS1>
s2_x_vel_max,0.9786110300755528,0.0020344586432703426,0.09564188946595865,5926.477273463483,8593.906376069308,UPDRS1>
s1_y_std,0.9875796164703465,0.001207959819441884,0.001626761999936243,0.6366631527766675,0.6370949890130014,UPDRS1>
s1_y_vel_max,0.9993099501507725,0.00012715366520432703,0.14649726514040634,5115.76772232702,10713.350019606565,UPDRS1>
